Search Terms	Ranking	San Francisco	Los Angeles	New York	Chicago	San Diego	San Jose	Seattle	Boston	Austin	Las Vegas	Philadelphia	Portland	Houston	Sacramento	Honolulu	Atlanta	Orange County	Denver	Dallas	Phoenix	Miami
Dentist	49.5263157894737	36	31	64	24	20	16	34	64	30		66	62	50	26		63	85	37	98	47	88
Raging Crab	50.0															50						
Best Hair Salon	50.0								76											24		
North Park Mall Restaurants	50.0																			50		
Steven Starr Restaurants	50.0											50										
Arts And Crafts Stores	50.0			50																		
Japanese Restaurant	50.0833333333333	32	43	37		70	20	62			67	97	83		48	10		32				
Private Party Venues	50.25							90				47		21			43					
Halloween Store	50.5		15		58		38								91							
Buffet	50.8333333333333					85	48				3				74	21		74				
Downtown	51.0						51															
Chinatown Bus	51.0											51										
Wicked Spoon	51.0										51											
Stand Up Paddle Board	51.0															51						
Best Seafood Restaurant	51.0					81		21														
Running Trails	51.0									51												
Punk Clothing Stores	51.0																	51				
Best Temp Agencies	51.0			51																		
Couples Cooking Classes	51.3333333333333											89						8		57		
Best Burger	51.3333333333333														65						25	64
Hair Salons	51.35	39	38	47	29	29	24	47	40	52		42	41	60	34	92	74	97	54	86	42	60
Seafood	51.35	27	53	94	66	26	66	19	16	84	80	79	45	37	73	29	52	42		46	62	31
All You Can Eat Crab Legs	51.5																36					67
Best Happy Hour	51.5		73					17		73			54			41			51			
Restaurants Downtown	51.625	84	97				45	55							23		19		36	54		
Trick Or Treat Hours	52.0				52																	
Kinko's	52.0															52						
Unique Wedding Venues	52.0																		52			
Best Thrift Shops In	52.0								52													
Bouchon	52.0										52											
Top Italian Restaurants	52.0							52														
18 And Up Night Clubs	52.0					52																
Hip Hop Clubs	52.6666666666667										50	57								51		
	52.6666666666667								32				68			58						
Steakhouses	53.0										53											
The Spence	53.0																53					
Fogo De Chao	53.0								53													
Poke	53.0															53						
Cucina Urbana	53.0					53																
Bus To Boston	53.0			53																		
Best Byob	53.0											53										
Fun Things To Do On Date Night	53.0												48	61								50
Small Wedding Venues Cheap	53.0													53								
Reclaimed Wood	53.0																	53				
Swingers Club	53.2					50						74	56		62			24				
Japanese	53.3333333333333	34	39	22		72	28	98	87						87	13						
Used Tires	53.5																	72				35
Hotels	53.5625	31	51	33	83	30		51	100	76	26		28		52	26	90			96	60	24
Mon Ami Gabi	54.0										54											
Men's Haircut	54.0											60								48		
Santana Row	54.0						54															
Asian Supermarket	54.4																40	86	53	58	35	
Dim Sum	54.5714285714286	22	64				30	63	91						38	74						
Costume Store	54.8333333333333	70	76						71			64	20						28			
Steak	54.8421052631579	58	50	40	42	51	46	57	58	53	21		71	51	100	56	81	63	56	34	54	
Fette Sau	55.0											55										
Costume Rental	55.0														55							
Best Birthday Cakes	55.0									55												
Root Down	55.0																		55			
Couples Massage	55.0										45								65			
Restaurants Union Square	55.0			55																		
Restaurants Nw 23rd	55.0												55									
Best Japanese Restaurant	55.0										76					34						
Bars In Midtown	55.0																					55
Cibo	55.0																				55	
Best Cupcake	55.0																	55				
Bars Waikiki	55.0															55						
Restaurants Near Galleria	55.0																			55		
Best Sushi Restaurant	55.5										65					46						
Teen Clubs 16-18	56.0																56					
Oishii	56.0														56							
Open Mic Night	56.0																	56				
Slanted Door	56.0	56																				
Wynn Buffet	56.0										56											
Cheap Dinner	56.1111111111111	64	60	25	37	61		48	43	71	91	35	44	66	83	45	46		59		53	79
Tapas	56.25	76		38	41				70													
Haircut	56.3636363636364	41	58		48	62	41	61	37	64		58	96	54								
Chinese Delivery	56.4166666666667		86		84	47		50		12		68	52	91					22	40	31	94
5 Star Restaurants	56.6													67	96		18			65		37
Bbq	56.7777777777778		84			63	56			16				30	85		75			25	77	
Fun Things To Do At Night	57.0		57																			
Wine Bar	57.0	50		23	98																	
Adult Stores	57.0												57									
Best Mexican Restaurant	57.0								57													
Bellagio	57.0										57											
Publican	57.0				57																	
Tuesday Night	57.0																					57
Foreign Cinema	57.0	57																				
Korean	57.5	42	34	31	78	91	22	71	92			54		69	43	23	85			70		
Pizza Delivery	57.5	43	89		85	56		36		59		98	25		57				35	62	45	
Asian Grocery Stores	57.5																83		32			
Used Furniture Stores	57.6666666666667														58			92	23			
Teppanyaki	58.0																	58				
Best Private Schools, Bay Area	58.0						58															
Iphone Screen Repair	58.0			58																		
Food Carts	58.0												58									
Mens Haircut	58.0																					58
Rainey Street Bars	58.0									58												
Lotus Of Siam	58.0										58											
Hip Hop Night Clubs	58.0																58					
Over 40 Crowd Night Clubs	59.0																59					
Thanksgiving Buffet	59.0																	59				
Toro	59.0								59													
"aarp Hartford"	59.0	59																				
Romantic Restaurant	59.0								97							49				31		
Spa Castle	59.0																			59		
Zuma	59.0																					59
Cheap Clothing Stores	59.0			59																		
Little Italy Restaurants	59.0					59																
El Vez	59.0											59										
Crabaholic	59.0						59															
Korean Bbq	59.0833333333333	88	9		55	39	34	82				78		74	68	85		9	88			
Vietnamese Restaurant	59.2	47					21							70	78			80				
Haunted House	59.5						50		69													
Indian	59.6	52	67	27	46	55	37	60	54	69		37	81	68			57		96	88		
Late Night Delivery	59.6666666666667									70			65						44			
Toms Shoes	59.6666666666667					78		65				36										
The Optimist	60.0																60					
Abercrombie & Fitch Outlet	60.0			60																		
Zumba Classes	60.0											75		58				71			74	22
Swingers Bars	60.0										39			81								
Vintage Clothing Stores	60.0																	60				
Gilt Bar	60.0				60																	
Puppy Training Classes	60.0																		60			
Restaurants, South Station	60.0								60													
Thai Food	60.2	54	29	91	47	35	52	43	55	91		92	42		64				87	71	50	
Best Mexican Food	60.25					86				46									43	66		
Cheap Banquet Halls	61.0																	61				
Balena	61.0				61																	
Firestone Restaurant	61.0														61							
Good Places For Lunch	61.0								61													
Clothing Optional	61.0										61											
Baby Shower Venues	61.0																	31				91
Best Steak In	61.0									61												
Fun Birthday Ideas	61.0			61																		
Cafe	61.3	21	32	26	82	82	91	58	56			88	77									
Bars And Lounges	61.5	61	46	52	87																	
Venues To Rent	62.0																62					
Chinese Buffet	62.0									63				80							43	
Mexican Grocery Stores	62.0																		62			
Airport Shuttle Service	62.0															62						
Galleria 33	62.0								62													
Hash House A Go Go	62.0										62											
Bar Brickell	62.0																					62
Country Line Dancing	62.0																	62				
Most Expensive Restaurant	62.0													62								
6th Street Restaurants	62.0									62												
Bakery	62.3333333333333	49	36	34	39	64	32	39	79	100		65	61	97	42	57			70	85	83	90
Vietnamese Coffee Shop	62.5						35											90				
Construction	62.6666666666667													65	54		69			76	59	53
Breakfast Restaurants	62.7		98			48			82		43		66		81	38	76		49		46	
Affordable Apartments For Rent	63.0	63																				
Rent A House For A Party	63.0																			63		
678	63.0															63						
Best Lobster Roll	63.0								63													
Unique Fun Dining Experiences	63.0																		63			
Massage Envy	63.0																				63	
Record Store	63.0																					63
Wicked Spoon Buffet	63.0										63											
Liquor Store	63.0											63										
Clubs For 18 And Over	63.0			63																		
Latin Night Clubs	63.0										88										38	
Untitled	63.0				63																	
Cooking Classes	63.1111111111111					42			33			94	53				26		100	69	75	76
Hair Salon	63.2727272727273	77	63	48	51	46	55		41			44		89		82						100
Tattoo Shops	63.3333333333333					57							37		70			68			61	87
Breakfast Burrito	64.0																		64			
Capitol Hill Bars	64.0							64														
Toro Bravo	64.0												64									
Girl And The Goat	64.0				64																	
Consignment Shops	64.0									56		90	79					25	42	92		
Jazz Clubs	64.0																64					
Shabu Shabu	64.5		75															54				
Black Clubs	65.0																65					
Best Mens Haircut	65.0									65												
Trader Joes	65.0															65						
Downtown Crossing Restaurants	65.0								65													
Alinea	65.0				65																	
Sewing Classes	65.0																	65				
State Bird Provisions	65.0	65																				
Uchi	65.5									79				52								
Soup	65.8333333333333	48	49	45	62	60	72	89		87		83	46		50				99			
Dry Cleaners	65.8571428571429	79	72	80	50	58	71	69	77	60		48		59	53				61		85	
Animal	66.0		66																			
Cougar Bar	66.0																	66				
Brewery	66.0												51						81			
Tailor	66.0			76	76				50			62										
Man Vs Food	66.0																		66			
Beauty Salon	66.4													77			42		84	77		52
Car Wash	66.5		48				85															
Best Pizza	66.5							72			33			56	93						64	81
Cooking Class	67.0			92				42														
Thanksgiving Brunch Buffet	67.0					67																
Serious Pie	67.0							67														
Soup Kitchen, Volunteer	67.0			67																		
Antique Stores	67.0																				67	
Udon	67.0															67						
Osteria	67.0											67										
Tuesday Specials	67.0																			67		
La Condesa	67.0									67												
Party Venues	67.0														59	75						
Ocean View Restaurant	67.5																	93				42
Lunch Downtown	67.6666666666667												72		90				41			
Lobster	68.0								68													
Bagels	68.0			68																		
Best Dim Sum	68.0							59	74			71										
Coffee Shop	68.0	95		39		98		80		48			39						77			
Adult Toy Stores	68.0										68											
Adult Massage	68.0										66						70					
Dog Grooming	68.0																		68			
Michelin-starred Restaurant	68.0							68														
Surfboard Rental	68.0															68						
Hotel	68.2222222222222	51	87	77		68		91			60		60			59						61
18 And Over Dance Club	68.5				74										63							
Vietnamese	69.0	60					62							85								
Shake Shack	69.0			69																		
Indian Clothing	69.0																					69
Cheap Buffet	69.0										69											
Plumber	69.0						69															
Voodoo Donuts	69.0												69									
Vinyl Record Stores	69.0																	69				
Adalbertos Menu	69.0														69							
House Of Prime Rib	69.0	69																				
Tag	69.0																		69			
101 And I-17	69.0																				69	
Live Music Tonight	69.0					69																
Vegan	69.3333333333333		65									100	43									
Burgers	69.4166666666667	73	55	75	54	65		75		82			63	79	44					78	90	
Cheap Motels	69.5			56			83															
Diners Drive In And Dives	70.0																	70				
North Face Outlet	70.0				56			84														
Best Sports Book	70.0										70											
Lola	70.0							70														
Deli	70.0			70																		
Wednesday Night	70.0																					70
